Typ	Wikidata	Wikidata	Wikidata	Wikidata
Einfriedung; Treppe; Wohnstift	Q1307347			
Einfriedung; Villa	Q1307347	Q3950		
Einfriedung; Villa; Vorgarten	Q1307347	Q3950		
Einfriedung; Werkstatt; Wohnen	Q1307347			
Einfriedung; Wohnen	Q1307347			
Einfriedung; Wohnwirtschaftsgebäude	Q1307347			
Eingangsgebäude; Remise; Villa	Q3950	Q517820		
Eingangstor				
Einkaufspassage/ Bürogebäude	Q11315			
Einkaufspassage/ Bürogebäude; Parkhaus	Q11315	Q13218805	Q13218805	
Einkaufszentrum	Q11315			
Eiskeller				
Eiskeller; Garten; Gasthaus				
Elektrizitätswerk <Wohnhaus; Maschinenhalle; Kesselhaus>	Q10482023			
Entleerungspumpwerk	Q47162123			
Entwässerungssystem				
Erholungsheim	Q1351018			
Etagengeschäftshaus	Q655686			
Etagenhau/ Geschäftshaus	Q1498804	Q655686		
Etagenhaus	Q1498804			
Etagenhaus (Bahnbeamten- und Arbeiterwohnhaus)	Q1498804			
Etagenhaus (Doppelhaus)	Q1498804			
Etagenhaus (Doppelhaushälfte)	Q1498804			
Etagenhaus (Fassade)	Q1498804			
Etagenhaus (Genossenschaftswohnblock)	Q1498804			
Etagenhaus (Hamburger Burg)	Q1498804	Q1572977		
Etagenhaus (Hinterhaus)	Q1498804			
Etagenhaus (Hinterhaus); Pflaster (in der Durchfahrt)	Q1498804	Q3328263		
Etagenhaus (Hinterhaus); Pflaster in der Durchfahrt)	Q1498804	Q3328263		
Etagenhaus (Hinterhaus, Wohnpassage)	Q1498804			
Etagenhaus (Hinterhaus, Wohnterrasse)	Q1498804			
Etagenhaus (Hofbebauung)	Q1498804			
Etagenhaus (Hofbebauung); Hofflächen	Q1498804			
Etagenhaus (mit Eiskeller)	Q1498804			
Etagenhaus (mit Gastronomie)	Q1498804	Q62602544		
Etagenhaus (mit Gastronomie, Eckgebäude)	Q1498804	Q62602544		
Etagenhaus (mit Gaststätte und Laden)	Q1498804	Q213441	Q62602544	
Etagenhaus (mit gewerblich genutztem Gebäudeteil)	Q1498804			
Etagenhaus (mit Kontor und Lager)	Q1498804	Q1783234		
Etagenhaus (mit Laden im Keller)	Q1498804	Q213441		
Etagenhaus (mit Laden im Keller) (Vorderhaus)	Q1498804	Q213441		
Etagenhaus (mit Laden im Keller, Vorderhaus); Speicher/ Werkstattgebäude (Hofbebauung)	Q1498804	Q213441	Q1362225	
Etagenhaus (mit Laden und Gaststätte)	Q1498804	Q213441	Q62602544	
Etagenhaus (mit Laden)	Q1498804	Q213441		
Etagenhaus (mit Läden)	Q1498804	Q213441		
Etagenhaus (mit Laden); Vorplatz	Q1498804	Q213441		
Etagenhaus (mit Werkstattflügel)	Q1498804			
Etagenhaus (Typ Hamburger Burg)	Q1498804			
Etagenhaus (vermutl.)	Q1498804			
Etagenhaus (Vorderhaus einer Wohnterrasse)	Q1498804			
Etagenhaus (Vorderhaus)	Q1498804			
Etagenhaus (Vorderhaus); Hofbebauung	Q1498804			
Etagenhaus (Vorderhaus); Mietfabrik (Hinterhaus)	Q1498804			
Etagenhaus (Vorderhaus); Pflaster (in der Durchfahrt)	Q1498804	Q3328263		
Etagenhaus (Vorderhaus); Werkstatt (Hofbebauung)	Q1498804			
Etagenhaus (Vorderhaus); Wohngebäude (Hinterhaus)	Q1498804			
Etagenhaus (Vorderhaus, mit Durchfahrt)	Q1498804			
Etagenhaus (Vorderhaus, Wohnpassage)	Q1498804			
Etagenhaus (Vorderhaus, Wohnterrasse)	Q1498804	Q2588111		
Etagenhaus (Vorderhaus, Wohnterrasse),Wohngebäude (Hinterhaus, Wohnterrasse)	Q1498804			
Etagenhaus (Vorderhaus, Wohnterrasse),Wohngebäude (Vorderhaus, Wohnterrasse)	Q1498804			
Etagenhaus (Vorderhaus, Wohnterrasse); Vorgärten; Pflaster	Q1498804	Q3328263		
Etagenhaus (Wohn- und Geschäftshaus)	Q1498804			
Etagenhaus (Wohn- und Geschäftshaus, mit Lagerräumen und Kontor im EG, Hofdurchfahrt)	Q1498804	Q1783234		
Etagenhaus (Wohngeschäftshaus)	Q1498804	Q655686		
Etagenhaus (Wohnstiftung)	Q1498804			
Etagenhaus {Geschäftshaus (nach Umbau)}	Q1498804			
Etagenhaus {Wohn- und Geschäftshaus (nach Umnutzung bzw. Erweiterung)}	Q1498804			
Etagenhaus {Wohn- und Geschäftshaus (nach Umnutzung, u.a. auch Postamt)} }	Q1498804			
Etagenhaus mit Vorgarten	Q1498804			
Etagenhaus Terrassenvorderhaus	Q1498804			
Etagenhaus,Wohngebäude	Q1498804			
Etagenhaus/ Eilguthalle (Halle im Erdgeschoss)	Q1498804			
Etagenhaus/ Gaststätte (mit Saalanbau)	Q1498804	Q62602544		
Etagenhaus/Stift	Q1498804			
Etagenhaus; Einfriedung	Q1498804	Q1307347		
Etagenhaus; Einfriedung; Vorgarten	Q1498804	Q1307347		
Etagenhaus; Gebäude (Hofbebauung)	Q1498804			
Etagenhaus; Hofbebauung (drei Gebäude)	Q1498804			
Etagenhaus; Hofbebauung (gewerblich)	Q1498804			
Etagenhaus; Speicher	Q1498804	Q1362225		
Etagenhaus; u.a.	Q1498804			
Etagenhaus; Vorgarten	Q1498804			
Etagenhäuser (Vorderhäuser, Wohnterrasse)	Q1498804			
Etagenwohnhaus	Q1498804			
Fabrikanlage	Q1662011			
Fabrikanlage (Fabrik- und Werkhallenkomplex)	Q1662011			
Fabrikanlage (Fabrikgebäude)	Q1662011			
Fabrikanlage (Fleischwarenfabrik)	Q1662011			
Fabrikanlage (Ölfabrik); Wasserturm	Q1662011			
Fabrikanlage (Papierfabrik)	Q1662011			
Fabrikanlage (Tabakfabrik)	Q1662011			
Fabrikanlage <Fabrikgebäude; Werkstattgebäude; Fabrikhallen>	Q1662011			
Fabrikanlage <Fabrikgebäude; Zufahrt; Gleise; Pflaster>	Q1662011	Q3328263		
Fabrikanlage; Straße; Pflaster; Gleise	Q1662011	Q3328263		
Fabrikationsanlage	Q1662011			
Fabrikbau	Q1662011			
Fabrikgebäude	Q1662011			
Fabrikgebäude (Arbeitshalle)	Q1662011			
Fabrikgebäude (Eisen- und Stahlgießerei)	Q1662011			
Fabrikgebäude (Fabrikhalle für Stahlfabrikation)	Q1662011			
Fabrikgebäude (Fabrikhalle)	Q1662011			
Fabrikgebäude (Fabrikhallen)	Q1662011			
Fabrikgebäude (Geschossbau)	Q1662011			
Fabrikgebäude (Großbäckerei); Schornstein; Silo	Q1662011			
Fabrikgebäude (Hinterhaus)	Q1662011			
Fabrikgebäude (Hofbebauung)	Q1662011			
Fabrikgebäude (Kesselhaus)	Q1662011			
Fabrikgebäude (Kontorgebäude mit Lagertrakt südwärts)	Q1783234	Q1662011		
Fabrikgebäude (Kontorgebäude/Lagerhaus/Wohnhaus) (hier Vorderhaus)	Q1783234	Q1662011		
Fabrikgebäude (Kontorgebäude/Maschinenhaus/Wohnhaus)	Q1783234	Q1662011		
Fabrikgebäude (Maschinen- und Werkstattgebäude)	Q1662011			
Fabrikgebäude (Mietfabrik)	Q1662011			
