ID	PLZ	Adresse
12051	20355	Valentinskamp 38e
12052	20355	Valentinskamp 38b
12053	20355	Valentinskamp 38c
12054	20355	Valentinskamp 38f
12055	20355	Valentinskamp 39
12060	20457	Willy-Brandt-Straße 59
12061	20457	Willy-Brandt-Straße 61
12062	20457	Willy-Brandt-Straße o.Nr. vor Nr. 59
12066	20095	Rathausmarkt 1
12072	20457	Am Sandtorkai 37
12073	20457	Am Sandtorkai 36
12073	20457	Am Sandtorkai 36a
12074	20457	Am Sandtorkai 23
12075	20457	Am Sandtorkai 2
12075	20457	Am Sandtorkai 3
12077	20457	Am Sandtorkai 4
12077	20457	Am Sandtorkai 5
12079	20457	Kehrwiederspitze 1
12080	20457	Kehrwieder 2
12081	20457	Am Sandtorkai 6
12082	20457	Brooktorkai 11
12082	20457	Brooktorkai 12
12082	20457	Brooktorkai 13
12082	20457	Brooktorkai 14
12082	20457	Brooktorkai 15
12082	20457	Brooktorkai 16
12082	20457	Dienerreihe 3
12083	20457	Alter Wandrahm 12
12084	20457	Brooktorkai 1
12085	20457	Alter Wandrahm 21
12085	20457	Poggenmühle 1
12092	20354	ABC-Straße 12
12094	20355	Markusstraße 3
12095	20355	Markusstraße 9
12095	20355	Markusstraße 9a
12096	20355	Markusstraße 2
12098	20459	Herrengraben 64
12098	20459	Herrengraben 66
12098	20459	Herrengraben 68
12098	20459	Herrengraben 70
12098	20459	Herrengraben 72
12098	20459	Martin-Luther-Straße 1
12098	20459	Martin-Luther-Straße 1a
12098	20459	Martin-Luther-Straße 3
12098	20459	Martin-Luther-Straße 3a
12098	20459	Martin-Luther-Straße 5
12098	20459	Martin-Luther-Straße 5a
12098	20459	Martin-Luther-Straße 7
12098	20459	Martin-Luther-Straße 7a
12098	20459	Rehhoffstraße 2
12098	20459	Rehhoffstraße 4
12098	20459	Rehhoffstraße 4a
12106	20459	Martin-Luther-Straße 14
12106	20459	Martin-Luther-Straße 16
12106	20459	Martin-Luther-Straße 16a
12106	20459	Martin-Luther-Straße 18
12106	20459	Martin-Luther-Straße 18a
12111	20459	Admiralitätstraße 77
12111	20459	Michaelisbrücke 1
12111	20459	Michaelisbrücke 3
12113	20459	Michaelisstraße 18
12115	20359	Millerntordamm 2
12116	20354	Neue ABC-Straße 1
12117	20354	Neue ABC-Straße 2
12118	20354	Neue ABC-Straße 3
12119	20354	Neue ABC-Straße 4
12120	20354	Neue ABC-Straße 5
12121	20354	Neue ABC-Straße 6
12122	20354	Neue ABC-Straße 7
12123	20354	Neue ABC-Straße 8
12126	20354	Neuer Jungfernstieg 7
12126	20354	Neuer Jungfernstieg 8
12128	20354	Neuer Jungfernstieg 15
12132	20095	Mönckebergstraße 3
12134	20095	Mönckebergstraße 5
12135	20095	Jakobikirchhof 6
12135	20095	Mönckebergstraße 11
12137	20095	Mönckebergstraße 27
12138	20095	Mönckebergstraße 12
12138	20095	Spitalerstraße 11
12139	20095	Mönckebergstraße 18
12144	20095	Niedernstraße 10
12145	20095	Niedernstraße 120
12146	20095	Raboisen 5
12147	20354	Neuer Wall 44
12148	20354	Neuer Wall 86
12149	20354	Neuer Wall 88
12149	20355	Stadthausbrücke 4
12150	22767	Am Brunnenhof 2
12150	22767	Am Brunnenhof 4
12151	22767	Am Brunnenhof 6
12151	22767	Am Brunnenhof 8
12152	22767	Am Brunnenhof 9
12153	22767	Am Brunnenhof 10
12154	22767	Am Brunnenhof 11
12155	22767	Am Brunnenhof 15
12156	22767	Am Brunnenhof 22
12157	22767	Am Brunnenhof 24
12158	22767	Am Brunnenhof 25
12159	22767	Am Brunnenhof 27
12160	22767	Am Brunnenhof 29
12161	22767	Am Brunnenhof 36
12161	22767	Am Brunnenhof 38
12165	20359	Annenstraße 4
12166	20359	Annenstraße 10
12167	20359	Annenstraße 16
12168	20359	Annenstraße 18
12169	20359	Annenstraße 20
12170	20359	Annenstraße 22
12171	20359	Annenstraße 24
12172	20359	Annenstraße 26
12173	20359	Annenstraße 28
12174	20359	Annenstraße 30
12175	20359	Annenstraße 32
12176	20359	Annenstraße 34
12178	20357	Bartelsstraße 12
12180	20357	Beckstraße 2
12180	20357	Beckstraße 4
12181	20359	Seilerstraße 40
12182	20359	Seilerstraße 41
12182	20359	Seilerstraße 43
12183	20359	Seilerstraße 42
12184	20359	Seilerstraße 44
12184	20359	Seilerstraße 44a
12185	20359	Seilerstraße 45
12186	20359	Hein-Hoyer-Straße 14
