Item	Bezeichnung	ist ein	lat	lon	Straße
Q928830	U-Bahnhof Hudtwalckerstraße	U-Bahnhof	53.594336	9.99611	
Q1244442	Schulstandort Poppenbüttler Stieg	Schulgebäude	53.64521	10.05078	
Q1530704	Unilever-Haus (HafenCity)	Unternehmensstandort	53.539083333333	9.9933888888889	
Q34627	Synagoge Neuer Steinweg	Synagoge	53.550226	9.977675	
Q1244442	Schule Niendorfer Marktplatz	Schulgebäude	53.61778	9.9477	Niendorfer Marktplatz 5-7
Q15815716	Hochbunker Humboldtstraße	Hochbunker	53.57688	10.02167	Humboldtstraße 91 – 99, 22083 Hamburg
Q1244442	Schule Ohrnsweg	Schulgebäude	53.47111	9.81679	Ohrnsweg 52
Q3950	Villa Süchting	Villa	53.56902777777778	9.99236111111111	Heimhuder Straße 71, 20148 Hamburg
Q1244442	Stadtteilschule Finkenwerder	Schulgebäude	53.53213	9.87541	Norderschulweg 14
Q928830	U-Bahnhof Billstedt	U-Bahnhof	53.5425	10.1069	
Q1244442	Schule Schulbergredder 21a	Schulgebäude	53.65913	10.07926	Schulbergredder 21a
Q64578911	Hafenkrankenhaus	ehemaliges Krankenhaus	53.5475	9.96944444	
Q41176	Sophienterrasse 1a	Gebäude	53.57659	9.99435	Sophienterrasse 1a
Q41176	Logenhaus der Vereinigten fünf Hamburgischen Logen	Gebäude	53.557	9.987	
Q1329623	Fabrik	Kulturzentrum	53.55658333	9.92922222	
Q1244442	Haus am Feuerteich	Schulgebäude	53.43584	9.96459	Lürader Weg 2
Q1060829	Baumhaus	Konzerthaus	53.54388889	9.98166667	
Q159334	Bugenhagenschule Blankenese	weiterführende Schule	53.56213	9.80741	Oesterleystraße 22
Q1138671	Reeseberg 8	katholische Bekenntnisschule	53.44979	9.98835	Reeseberg 8
Q174814	Umspannwerk Hamburg/Ost	Umspann- oder Schaltanlage	53.555	10.158055555556	
Q1244442	Schule Frohmestraße	Schulgebäude	53.63238	9.91964	Frohmestraße 42
Q16970	Kirche zur Heiligen Dreieinigkeit	Kirchengebäude	53.5561735	10.0408924	
Q1244442	Neuengammer Hausdeich 97	Schulgebäude	53.43067	10.24191	Neuengammer Hausdeich 97
Q1244442	Schule Brucknerstraße 1	Schulgebäude	53.58283	10.03921	Brucknerstraße 1
Q41176	Colosseum	Gebäude	53.485445	10.213042	
Q1244442	Domschule St. Marien	Schulgebäude	53.55786	10.01454	Schmilinskystraße 70
Q1244442	Schule Curschmannstraße	Schulgebäude	53.58781	9.97607	Curschmansstraße 39
Q928830	U-Bahnhof Niendorf Markt	U-Bahnhof	53.61972222	9.95152778	
Q1244442	Schule Weidenstieg	Schulgebäude	53.57002	9.963	Weidenstieg 29
Q1244442	Horster Damm 170	Schulgebäude	53.45544	10.28412	Horster Damm 170
Q1088552	Heilig-Geist-Kirche	Katholisches Kirchengebäude	53.60638	10.12073	
Q11691318	St. Johannis	Kulturdenkmal in Deutschland	53.55972222	9.95305556	
Q41176	Fernsprechamt Schlüterstraße	Gebäude	53.56847222	9.98555556	
Q30301498	DRK-Studentenwohnheim Bieberstraße		53.56971	9.98476	Bieberstraße 1
Q19844914	Geomatikum	Universitätsgebäude	53.568278	9.973861	Bundesstraße 55
Q8536775	Rote Flora	Autonomes Zentrum	53.56199	9.9615	Schulterblatt 71, 20357 Hamburg
Q66088335	Leuchtfeuer Bunthaus	Holz-Leuchtturm	53.45685833	10.06906111	
Q1244442	Schule Heidacker	Schulgebäude	53.61999	9.88972	Heidacker 13
Q1244442	Schule Thadenstraße	Schulgebäude	53.55659	9.95577	Thadenstraße 147
Q1802963	Garstedter Weg 9	Herrenhaus	53.6202	9.95319	Garstedter Weg 9
Q24354	Theater Istasyon	Theatergebäude	53.556411	9.94624	
Q1244442	Schule Von-Moltke-Bogen	Schulgebäude	53.48633	10.16097	Von-Moltke-Bogen 40
Q928830	U-Bahnhof Straßburger Straße	U-Bahnhof	53.582226	10.067575	
Q622425	Delphi Showpalast	Nachtclub	53.5658	9.95807	Eimsbütteler Chaussee 5, Hamburg
Q1244442	Alte Schule Cranz	Schulgebäude	53.53551	9.78011	Estedeich 102
Q41176	Burstahhof	Gebäude	53.548469	9.989365	
Q19860854	Elysium-Theater	abgegangenes Bauwerk	53.54918	9.96416	
Q322563	Berufsschule Richardstraße	Berufsschule	53.57348	10.03503	Richardstraße 1
Q492425	Eurogate Container Terminal Hamburg	Containerterminal	53.527	9.912	Kurt-Eckelmann-Straße 1
Q19860854	Gondel Filmtheater	abgegangenes Bauwerk	53.58958	10.00036	Sierichstraße 97, 22299 Hamburg
Q1021645	Hanseatic Trade Center	Bürogebäude	53.5425	9.98444444	
Q2111165	Komödie Winterhuder Fährhaus	Privattheater	53.59375	9.994088	
Q16970	Kirche am Rockenhof	Kirchengebäude	53.65083333	10.16472222	
Q1244442	Katholische Schule Blankenese	Schulgebäude	53.56171	9.82258	Mörikestraße 16
Q1244442	Kurt-Körber-Gymnasium	Schulgebäude	53.54149	10.12095	Pergamentweg 1
Q1244442	Schule Krohnstieg	Schulgebäude	53.64765	10	Krohnstieg 107
Q83405	Flugplatz Hamburg-Finkenwerder	Fabrik	53.535833	9.836944	
Q1244442	Schule Vörn Barkholt	Schulgebäude	53.65226	10.16691	Vörn Barkholt 6
Q1129743	St. Maximilian Kolbe	Filialkirche	53.49805556	10.01333333	
Q41176	Kirchdorfer Straße 166	Gebäude	53.4875	10.01666	Kirchdorfer Straße 166
Q1244442	Heinrich-Osterath-Straße 45	Schulgebäude	53.44388	10.16419	Heinrich-Osterath-Straße 45
Q190928	Köhlbrandwerft	Werft	53.514166666667	9.9355555555556	
Q39715	Leuchtturm Ellerholzhafen	Leuchtturm	53.53165556	9.95544444	Ellerholzdamm, Ellerholzhöft
