Item	Bezeichnung	ist ein	lat	lon	Straße
Q106324234	Schule Rahlstedter Straße	Schule in öffentlicher Trägerschaft	53.60411	10.1672	Rahlstedter Straße 190
Q89580733	Schule Röthmoorweg	Schulgebäude	53.6275	9.92476	Röthmoorweg 9
Q2151985	U-Bahnhof Osterstraße	U-Bahnhof	53.57625	9.95166667	
Q874288	St. Gertrud	Kirchengebäude	53.56722222	10.02777778	
Q47515445	KZ Hamburg-Steinwerder (Blohm & Voss)	Konzentrationslager	53.5463	9.9354	
Q73391939	Schule Sethweg	Schulgebäude	53.63383	9.94339	Sethweg 56
Q3392985	Außenalster	Stausee	53.565	10.01	
Q45544812	KZ Hamburg (Stadthaus und Untersuchungsgefängnis)	Konzentrationslager	53.549999	10	
Q34378806	City Lichtspietheater	Kino	53.55325	10.01078	Steindamm 9, 20099 Hamburg
Q1318152	Leuchtturm Wittenbergen	Leuchtturm	53.56391667	9.75146111	
Q2314891	Spökelburg	Burg	53.535666	10.110029	
Q28978939	Dominikanerkloster Hamburg	religiöse Gemeinschaft	53.550833	9.993056	
Q88300024	Katholische Schule St. Joseph Wandsbek	katholische Bekenntnisschule	53.57386	10.07658	Böhmestraße 3 – 5, 22041 Hamburg
Q34378662	Astoria Kino	Kino	53.57668	10.01997	Winterhuder Weg 112, 22085 Hamburg
Q34378952	Kurbel am Jungfernstieg	abgegangenes Bauwerk	53.55318	9.99038	Große Bleichen 13, 20354 Hamburg
Q111203537	Berner Heerweg 187	Gebäude	53.60823	10.12062	Berner Heerweg 187
Q104057104	Schule Schimmelmannstraße	Schulgebäude	53.57112	10.10276	Schimmelmannstraße 70
Q80587537	Schule Wegenkamp	Grundschule	53.60298	9.92388	Wegenkamp 9
Q96309242	Schule Querkamp	Schulgebäude	53.55623	10.10354	Querkamp 68
Q1535030	Golden Pudel Club	Nachtclub	53.54611111	9.95777778	
Q19284327	Graf-Goltz-Kaserne	Kaserne	53.60780334	10.17427254	
Q1719265	KZ-Außenlager Hamburg-Wandsbek	Konzentrationslager	53.582778	10.108611	
Q106077335	Bergedorf-West	Großwohnsiedlung	53.49073	10.17806	
Q114237850	Rainvilleterrasse 4	Gebäude	53.54588	9.93048	Rainvilleterrasse 4
