Typ	Wikidata	Wikidata	Wikidata	Wikidata	Wikidata
Stall- und Garagengebäude/Wohnhaus (Gärtnerwohnung)	1
Kutscherhaus/ Remise/ Stall; Wohnhaus (nach Umnutzung)	1
Friedhof <Grabsteine; Grüfte; Kriegerdenkmal; Friedhofskapelle; Torhaus/ Wartehalle; Einfriedungen; Tor>	1
Wohnwirtschaftsgebäude (Fachhallenhaus); u.a.	1
Kriegerdenkmal (Friedenseiche mit Findling)	1
Wohnhaus; Windbaum	1
Mühlenanlage (Großmühlenbetrieb)	1
Dienstgebäude (Militärintendantur)	1
Kiosk	1
Platzanlage; Denkmal (Kriegerdenkmal 1870/71)	1
Gärtnerhaus/Torhaus	1
Wohnhaus mit Garten; Brunnen	1
Altenteiler/ Kate	1
Landhaus {Rathaus (nach Umnutzung)}	1
Einfriedung (Gußeisernes Gitter)	1
Wohnhaus {Schulgebäude/ Lehrerwohnhaus (nach Umnutzung 1808)} {Geschäftshaus (nach Umnutzung 1888)}	1
Hotel (Strandhotel)	1
Einfamilienhaus/ Villa	1
Villa; Remise	1
Etagenhaus (Genossenschaftswohnblock)	1
Werksgebäude (Brauerei)	1
Gewerbebau (Speichergebäude)	1
Schulgebäude (Kirchenschule) {Gemeindehaus (nach Umnutzung)}	1
Pastorat/Gemeindehaus	1
Kaufmannshaus; Speicher (Anbau); Fabrikgebäude (Anbau)	1
Wohn- und Wirtschaftsgebäude {Laden (nach Umnutzung)}	1
Gemeindezentrum (Kirchengebäude mit Gemeinderäumen)	1
Denkmalanlage (Findlinge, z.T. mit Bronzeplatte) <Kriegerdenkmal 1848/ 51; Kriegerdenkmal 1870/ 71; Kriegerdenkmal 1914/ 18; Kriegerdenkmal 1939/ 45; Denkmal für die Erhebung Schleswig-Holsteins)>	1
Wohnhaus und Garten	1
Wohnwirtschaftsgebäude {Restaurant bzw. Laden (nach Umnutzung)}	1
Fassade (Gaststättenfassade); Terrasse (Gartenwirtschaft)	1
Fischerhaus (Haushälfte)	1
Wohnhaus; Remise; Einfriedung	1
Bauernhaus {Kavalierhaus (nach Umnutzung)}	1
Einfamilienhaus (mit Garage)	1
Pastorat; Einfriedung	1
Landhaus; Stützmauer (erhaltene Teile)	1
Villa; Stützmauer	1
Pumpstation	1
Landhaus; Garten; Einfriedung	1
Gaststätte; Garten	1
Wohnhaus (Direktorenwohnhaus; Schulnebengebäude)	1
Clubhaus	1
Gutsgelände (historisch geprägte Flächen)	1
Park; Tor (Parktor)	1
Landarbeiterhaus	1
Wohnwirtschaftsgebäude {Laden (nach Umnutzung}	1
Werksgebäude (Halle mit Wohn- und Büroteil)	1
Wohngebäude/Stallgebäude/Altenteiler	1
Schulgebäude (Dorfschule) {Wohnhaus (nach Umbau)}	1
Wohngebäude (Gutsverwalterhaus)	1
Schulgebäude (Dorfschule) {Wohnhaus (Umnutzung nach 1945)}	1
Wohngebäude (mit Läden und Treppe)	1
Wohngebäude Hinterhaus	1
Landhaus (mit Garage)	1
