ID	Commonscat
24445	Hayns-Park und Meenkwiese HH-Eppendorf
29584	Erikastraße 126 in Hamburg-Eppendorf
20719	Ernst-Thälmann-Platz Kiosk Hamburg-Eppendorf
30728	Siedlung Faaßweg / Heilwigstraße / Kellinghusenstraße / Kunhardtstraße
30744	Goernebrücke
20728	Goernebrücke
30712	Siedlung Goernestraße / Gustav-Leo-Straße
29578	Holthusenbad
30713	Siedlung Goernestraße / Loogeplatz
29581	Kellinghusens Park
30715	Siedlung Gustav-Leo-Straße 14-18
29253	Haynstraße 2, 4 (Hamburg)
29254	Gymnasium Eppendorf
30727	Kulturwissenschaftliche Bibliothek Warburg
30730	Kloster St. Johannis (Hamburg)
38986	Seelemannpark
20620	Seelemannpark
20843	Seelemannpark
20773	Julius-Reincke-Stieg 13,13a Hamburg-Eppendorf
30732	U-Bahnhof Kellinghusenstraße
20501	Treppenbrücke Kellinghusenstraße
20274	Bücherhalle Eppendorf
20294	Knauer-Denkmal
20299	Gemeindehaus St. Johannis (Hamburg-Eppendorf)
20770	Ludolfstraße 60 Hamburg-Eppendorf
24405	St. Martinus (Hamburg-Eppendorf)
24416	Grenzstein Martinistraße 52 (UKE) Hamburg-Eppendorf
20787	Hayns-Park und Meenkwiese HH-Eppendorf
29257	Villa Meenkwiese1/Salomon-Heine-Weg24
20788	Hayns-Park und Meenkwiese HH-Eppendorf
29258	Schule Robert-Koch-Straße (Hamburg)
20812	Cultural heritage monuments in Hamburg-Eppendorf
20815	Schedestraße 16 Kinderheim Hamburg-Eppendorf
20306	Daniel Schutte-Stift
30758	Jenisch-Stift
19572	Pförtnerhaus Jenisch-Stift
24444	Stone arch bridges in Hamburg
20876	Winterhuder Brücke
24602	Berner Heerweg 187
24598	Karl-Schneider-Halle
14651	Gorch-Fock-Halle
14713	Gorch-Fock-Stein
14570	Norderschulweg 12
29353	Aueschule Finkenwerder
28483	Hohenwischer Straße 209
30924	Siedlung Alsterkrugchaussee / Zeppelinstraße
30965	Siedlung Am Lustberg / Niedernstegen
29625	Gymnasium Alstertal
30968	St. Lukaskirche (Hamburg-Fuhlsbüttel)
29274	Schule Eschenweg (Hamburg)
30925	Siedlung Gnadenbergweg
29626	Schule Ratsmühlendamm
23242	Wacholderpark Fuhlsbüttel
31245	Informationszentrum NS-Zwangsarbeit
28595	Informationszentrum NS-Zwangsarbeit
28596	Informationszentrum NS-Zwangsarbeit
30733	Siedlung Alsterkrugchaussee 387 bis 421
29587	Seniorenheim Groß Borstel
30761	St. Peter (Hamburg-Groß Borstel)
20895	St. Peter (Hamburg-Groß Borstel)
17903	Kriegerdenkmal Bei der Flottbeker Kirche
17893	Groß Flottbeker Kirche (Hamburg)
29475	Röbbek 4
17979	Schule Waitzstraße
29911	Speicherstadt
12190	Altes Zollhaus (Hamburg-HafenCity)
14972	Hafenpolizeiwache No 2
14139	Internationales Maritimes Museum Hamburg
14127	Oberhafenkantine
14221	Adolphsbrücke
29221	Hamburger Börse
14223	Thaliahof
29148	Thalia Theater (Hamburg)
29146	Heintzehof
14224	Alstertor 17
29927	Binnenalster
29939	Alter Wall
11979	Bucerius Kunst Forum
29912	Kontorhausviertel
29155	Bartholomayhaus
29135	Sprinkenhof
29931	Altstädter Hof
13730	Haus Alsterblick
29144	Kirdorfhaus
29145	Hapag-Lloyd-Gebäude
12281	Senator-Hayn-Haus
12491	Europa Passage
13833	Bücherhalle Barkhof
14877	Mönckebergbrunnen
11776	Gehrckens Hof
11777	Neuer Kran (Hamburg)
11781	Mührenhof
29124	Hansaburg (Hamburg-Altstadt)
14863	Zollkanal
14864	Binnenhafen (Hamburg)
29126	Stellahaus
29127	Haus Glass
29128	Commeterhaus
12280	Aerial photographs of the Binnenalster
11784	Börsenburg
29130	Patriotische Gesellschaft von 1765
11785	Spiegel-Haus
11791	Haus Cölln
11792	Commerzbank (Hamburg)
12474	Brooksbrücke
11802	Bugenhagenhaus (Hamburg-Altstadt)
29930	Klöpperhaus, Hamburg
29132	Finanzamt Steinstraße (ehem. Hauptverwaltung Karstadt)
29133	Chilehaus
29134	Mohlenhof
29913	Altstädter Hof
29136	Rodewaldthaus
29137	Burchardhof
14528	Kontorhaus Holzbrücke 8/Cremon 37
11812	Helmut-Schmidt-Haus
29138	Miramarhaus
29970	Deutsche Bundesbank Hamburg
29139	Haus der Seefahrt (Hamburg)
29917	Deichtorhallen
11833	Deichtorhallen
11834	Deichtorhallen
29140	Polizeikommissariat 12 am Klingberg
11835	IBM-Haus (Hamburg)
11840	Frenssenhaus
12048	Reformierte Kirche Ferdinandstraße (Hamburg)
11836	Hesse-Newman-Haus
14793	Friedrichshof (Kontorhaus)
11838	Ferdinandstraße 65 (Hamburg)
29142	Bankhaus Warburg
29162	Mönckeberghaus
12493	Der Fluss by Aristide Maillol (Kunsthalle Hamburg)
29150	Henckels-Solingen-Haus
12059	Commerzbank (Hamburg)
11851	Afrikahaus
29151	Allianz-Hochhaus (Hamburg)
29152	Hindenburghaus (Hamburg)
14750	Nikolaifleet
29153	Alte Oberfinanzdirektion Hamburg
11853	Heiligengeistbrücke
11854	Kranwärterhaus (Hamburg)
11855	Hohe Brücke (Hamburg)
11856	Holzbrücke (Hamburg)
29923	St. Nikolai (Hamburg)
11857	Vierländerin-Brunnen
29926	St. Jacobi, Hamburg
29292	City-Hof
11867	Jungfernbrücke (Hamburg)
29928	Kajen 2-10 (Hamburg)
11873	Edmund-Haus
11874	Montanhof
14802	Kleine Alster
14861	Hamburger Ehrenmal für die Gefallenen beider Weltkriege
