ID	Adresse	Geogr. Br.	Geogr. Lg.	PLZ
17361	Övelgönne 22	53.544971	9.910411	22605
17363	Övelgönne 20	53.545107	9.91057	22605
17364	Övelgönne 19	53.544975	9.910713	22605
17365	Övelgönne 18	53.544956	9.910898	22605
17388	Strandweg  o.Nr., am Knüll	53.557141	9.802842	22587
17412	Sülldorfer Kirchenweg o.Nr. nordwestlich der Kirche, vor dem Denkmal für 1914/ 18 und 1939/ 45	53.579644	9.797052	22589
17413	Sülldorfer Kirchenweg o.Nr. nordwestlich der Kirche, hinter dem Denkmal für 1870/ 71	53.579564	9.797076	22589
17463	Bahrenfelder Chaussee o.Nr. hinter Nr. 49	53.564657	9.912664	22761
17464	Flurstraße o.Nr. südlich von Nr. 3	53.592144	9.870219	22549
17466	Am Krähenberg o.Nr.|Blankeneser Landstraße o.Nr.|Goßlers Park o.Nr.|Goßlerstraße o.Nr.	53.56575	9.809396	22587
17470	Elbchaussee o.Nr.|Gätgensstraße o.Nr.|Pepers Diek o.Nr.	53.560546	9.819733	22587
17471	Elbchaussee o.Nr.|Gätgensstraße o.Nr.|Pepers Diek o.Nr.	53.560546	9.819733	22587
17530	Christian-F.-Hansen-Straße o.Nr.	53.550234	9.860448	22609
17534	Quellental o.Nr. westlich von Nr. 36	53.552655	9.858135	22609
17568	Beckers Treppe 5	53.558816	9.808657	22587
17666	Bei der Christuskirche o.Nr. o. Nr.	53.569782	9.961816	20259
17727	Gasstraße  o.Nr., östlich von Nr. 2	53.561328	9.918736	22761
17760	Gasstraße o.Nr.	53.560631	9.917769	22761
17761	Gasstraße  o.Nr., östlich von Nr. 2a	53.560901	9.917603	22761
17763	Hellgrundweg o.Nr. in der Ostkurve des Sportplatzes (nördlich der Ecke August-Kirch-Straße/ Max-Schmeling-Straße)	53.584757	9.901801	22525
17764	Lutherhöhe o.Nr. auf einem Hügel im Lutherpark	53.571895	9.904745	22761
