ID	Adresse	Geogr. Br.	Geogr. Lg.
14555	Rüschweg o.Nr. vor Nr. 1	53.535418	9.857817
14557	Finksweg o.Nr. nahe Steendiek in der Grünanlage	53.533471	9.877902
14657	Finkenwerder Süderdeich o.Nr. gegenüber Nr. 36	53.520162	9.865977
14713	Finksweg o.Nr.	53.540917	9.867848
14731	Finkenwerder Landscheideweg o.Nr.|Kirchenaußendeichsweg o.Nr.	53.527206	9.865895
14737	Baumwall o.Nr.	53.544265	9.981447
14739	Binnenhafenbrücke o.Nr.|Otto-Sill-Brücke o.Nr.	53.544793	9.983472
14740	Vorsetzen o.Nr.	53.544226	9.979265
14741	Johannisbollwerk o.Nr.	53.544861	9.975321
14742	Helgoländer Allee o.Nr.	53.546616	9.970404
14743	Rödingsmarkt o.Nr.	53.548006	9.986711
14744	Großer Burstah o.Nr.	53.54873	9.987479
14745	Mönkedamm o.Nr.|Mönkedammfleet	53.548926	9.988647
14750	Großer Burstah o.Nr.	53.546847	9.990589
14751	Schleusenbrücke o.Nr.	53.548	9.987497
14752	Herrengrabenbrücke o.Nr.	53.546411	9.982381
14753	Poststraße o.Nr.	53.550476	9.987323
14759	Wohlwillstraße 26	53.553386	9.962237
14764	Ellerholzweg o.Nr.	53.525596	9.974258
14781	Am Elbpavillon o.Nr.|Helgoländer Allee o.Nr.|Kuhberg o.Nr.|Millerntordamm o.Nr.|Venusberg o.Nr.	53.547787	9.971631
14782	Glacischaussee o.Nr.|Holstenwall o.Nr.	53.552923	9.97447
14783	Dammtordamm o.Nr.	53.558705	9.991511
14784	Gorch-Fock-Wall o.Nr.	53.557299	9.981046
14785	Glacischaussee o.Nr.|Holstenwall o.Nr.	53.552692	9.974331
14789	Nordbake Neuwerk	53.928889	8.481945
14790	Ostbake Neuwerk	53.923763	8.511596
14797	Dessauer Straße o.Nr. am Dessauer Ufer	53.526531	10.011921
14798	Dessauer Straße o.Nr. am Dessauer Ufer	53.525134	10.010635
14800	Lindenstraße o.Nr. hinter Nr. 21	53.553717	10.017852
14801	Bei den St. Pauli-Landungsbrücken o.Nr.	53.545724	9.971892
14802	Kleine Alster|Rathausmarkt o.Nr.	53.551893	9.992904
14804	Wandsbeker Chaussee o.Nr.	53.566755	10.053956
14807	Nehlsstraße o.Nr.	53.533306	9.957627
14809	Worthdamm o.Nr. südlich von Nr. 49, 49a	53.528769	9.981909
14810	Worthdamm o.Nr. südlich von Nr. 49a	53.528744	9.982198
14816	Willersweg o.Nr.	53.645159	10.018621
14827	Bremer Kai	53.528434	9.997777
14828	Kaltehofe-Hauptdeich o.Nr.	53.52404	10.053962
14830	Moorfleeter Hauptdeich o.Nr. südöstlich von Nr. 81	53.504782	10.064836
14831	Karolinenstraße 24	53.559178	9.974294
14832	Glashüttenstraße 88	53.559357	9.973414
14837	Zeißstraße o.Nr.	53.555146	9.930866
14838	Marseiller Straße o.Nr.|Messeplatz o.Nr.|St.Petersburger Straße o.Nr.|Tiergartenstraße o.Nr.	53.561823	9.981208
14861	Kleine Alster	53.551487	9.992531
14863	Zollkanal	53.54566	9.996832
14864	Binnenhafen	53.544159	9.985802
14866	Barkhof o.Nr.|Mönckebergstraße o.Nr.	53.551236	10.000706
14872	Rantzaustraße o.Nr.	53.570973	10.073761
14907	Königstraße o.Nr. in der Grünanlage südlich der Straße, auf Höhe von Nr. 34	53.547981	9.942735
14960	Königstraße o.Nr. südlich der Straße, auf Höhe von Nr. 20 bis Nr. 32	53.54822	9.94373
14961	Behnstraße o.Nr.	53.547689	9.943265
14983	Bleichenbrücke 17a|Bleichenbrücke 17b	53.551284	9.986858
14998	Holztwiete o.Nr. westlich von Nr. 20	53.548846	9.873515
15191	Klopstockplatz o.Nr.|Klopstockstraße o.Nr.	53.546992	9.932891
15204	Norderreihe o.Nr.|Thadenstraße o.Nr.|Wohlers Allee o.Nr.	53.558204	9.952749
15280	Friedrich-Ebert-Hof o.Nr. vor Nr. 12-14	53.557522	9.91252
15289	Behnstraße o.Nr.|Königstraße o.Nr.	53.548189	9.941933
15294	Köhlbrandtreppe o.Nr.	53.54488	9.946355
15298	Flurstraße o.Nr. Ecke Luruper Hauptstraße	53.592732	9.870636
